ISIN,TckrSymb,COMPANYNAME,NSE:
INE881B01054,SUPERTEX,SUPERTEX INDUSTRIES LTD.,NSE:SUPERTEX
INE278C01010,SHETR,SHETRON LTD.,NSE:SHETR
INE773D01018,TRABI,TRANSGENE BIOTEK LTD.,NSE:TRABI
INE343A01016,MPL,MPL PLASTICS LTD.,NSE:MPL
INE926C01022,NIKHILAD,NIKHIL ADHESIVES LTD.,NSE:NIKHILAD
INE678F01014,MULTIBASE,MULTIBASE INDIA LTD.,NSE:MULTIBASE
INE449C01025,ANDREWYU,ANDREW YULE & COMPANY LTD.,NSE:ANDREWYU
INE983C01015,LUDLOWJUT,LUDLOW JUTE & SPECIALITIES LTD,NSE:LUDLOWJUT
INE293C01019,ASHRAM,ASHRAM ONLINE.COM LTD.,NSE:ASHRAM
INE618A01011,ROYALCU,ROYAL CUSHION VINYL PRODUCTS L,NSE:ROYALCU
INE170U01011,SURJIND,SURAJ INDUSTRIES LTD.,NSE:SURJIND
INE120D01012,HITECHCORP,Hitech Corporation Limited,NSE:HITECHCORP
INE816B01035,FILATEX,FILATEX INDIA LTD.,NSE:FILATEX
INE307D01015,STDSFAC,STANDARD SURFACTANTS LTD.,NSE:STDSFAC
INE902C01015,MORGAN,MORGAN VENTURES LTD.,NSE:MORGAN
INE762C01021,AMRAPLIN,AMRAPALI INDUSTRIES LTD.,NSE:AMRAPLIN
INE863B01029,PREMEXPLN,PREMIER EXPLOSIVES LTD.,NSE:PREMEXPLN
INE033E01015,MIDEASTP,MID EAST PORTFOLIO MANAGEMENT,NSE:MIDEASTP
INE835B01035,MOLDTECH,MOLD-TEK TECHNOLOGIES LTD.,NSE:MOLDTECH
INE293N01016,CRSTCHM,CRESTCHEM LTD.,NSE:CRSTCHM
INE356A01018,MPHASIS,MPHASIS LTD.,NSE:MPHASIS
INE047C01019,MEDINOV,MEDINOVA DIAGNOSTIC SERVICES L,NSE:MEDINOV
INE410G01010,DIVSHKT,DIVYASHAKTI LIMITED,NSE:DIVSHKT
INE609C01024,ORIENTLTD,ORIENT PRESS LTD.,NSE:ORIENTLTD
INE115F01017,SHREYASI,SHREYAS INTERMEDIATES LTD.,NSE:SHREYASI
INE744D01019,PANJON,PANJON LTD.,NSE:PANJON
INE138B01018,DUROPACK,DUROPACK LTD.,NSE:DUROPACK
INE967A01012,SWARNSAR,SWARNSARITA JEWELS INDIA LIMIT,NSE:SWARNSAR
INE460C01014,GANESHHOUC,GANESH HOUSING CORPORATION LTD,NSE:GANESHHOUC
INE584A01023,NMDC,NMDC LTD.,NSE:NMDC
INE529D01014,PATINTLOG,PATEL INTEGRATED LOGISTICS LTD,NSE:PATINTLOG
INE137C01018,ALPHAGEO,ALPHAGEO (INDIA) LTD.,NSE:ALPHAGEO
INE299D01022,HAMPTON,HAMPTON SKY REALTY LIMITED,NSE:HAMPTON
INE301C01028,KKALPANAIND,KKALPANA INDUSTRIES (INDIA) LT,NSE:KKALPANAIND
INE870B01024,OKPLA,OK PLAY INDIA LTD.,NSE:OKPLA
INE479D01038,KRITI,KRITI INDUSTRIES (INDIA) LTD.,NSE:KRITI
INE867C01010,ASMTEC,ASM TECHNOLOGIES LTD.,NSE:ASMTEC
INE759I01024,PERFEPA,PERFECTPAC LTD.,NSE:PERFEPA
INE267C01013,AMBIT,AMBITIOUS PLASTOMAC COMPANY LT,NSE:AMBIT
INE515B01025,VISIONCINE,VISION CINEMAS LTD.,NSE:VISIONCINE
INE072B01027,AEIM,Artificial Electronics Intelli,NSE:AEIM
INE007C01021,INDRANIB,INDRAYANI BIOTECH LTD.,NSE:INDRANIB
INE940E01011,EUROLED,EURO LEDER FASHION LTD.,NSE:EUROLED
INE391C01011,WINSOMBR,WINSOME BREWERIES LTD.,NSE:WINSOMBR
INE152E01013,ELEFLOR,ELEGANT FLORICULTURE & AGROTEC,NSE:ELEFLOR
INE765B01018,SKYIND,SKY INDUSTRIES LTD.,NSE:SKYIND
INE245B01011,PHOENXINTL,PHOENIX INTERNATIONAL LTD.,NSE:PHOENXINTL
INE582D01013,RISHIROOP,Rishiroop Limited,NSE:RISHIROOP
INE818D01011,PROMACT,PROMACT IMPEX LIMITED,NSE:PROMACT
INE398F01019,STRGRENWO,STERLING GREEN WOODS LTD.,NSE:STRGRENWO
INE356B01024,SYSTMTXC,SYSTEMATIX CORPORATE SERVICES,NSE:SYSTMTXC
INE825D01016,SHAHISHIP,Shahi Shipping Limited,NSE:SHAHISHIP
